,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
11,0.005,20,"[8, 8, 5]","[0, 0, 0]",90.0,2.614347081318,24,30,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,68.54,MB,274.15,MB,0.6,6,     12.69s ,12.69,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.52e-09,14.087,-12551.023256637,6.394675110891e-08,-0.00095035756701221,-9620.5067047415,5020.2389898711,-1135.6621845474,-6815.0924068615,6.0,0.0,Zn2_11
12,0.005,21,"[9, 9, 5]","[0, 0, 0]",90.0,2.614347081318,24,36,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,70.08,MB,280.31,MB,0.6,6,     15.24s ,15.24,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.39e-09,14.5982,-12551.049231671,7.074959697156e-08,-0.0028963796544819,-9620.5433938498,5020.2532136694,-1135.6637481135,-6815.0924068615,6.0,0.0,Zn2_12
13,0.005,24,"[10, 10, 5]","[0, 0, 0]",90.0,2.614347081318,24,42,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,71.62,MB,286.47,MB,0.6,6,     17.44s ,17.44,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.46e-09,14.0611,-12551.105246576,1.768739924289e-08,0.00070586328670856,-9620.647105684,5020.2978989788,-1135.6643390087,-6815.0924068615,6.0,0.0,Zn2_13
14,0.005,25,"[10, 10, 6]","[0, 0, 0]",90.0,2.614347081318,24,56,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,75.21,MB,300.85,MB,0.8,6,     22.63s ,22.63,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.42e-09,14.2447,-12551.106362787,5.170162855614e-08,-0.00079987861653039,-9620.6362637164,5020.2888669764,-1135.6657594429,-6815.0924068615,6.0,0.0,Zn2_14
15,0.005,27,"[11, 11, 6]","[0, 0, 0]",90.0,2.614347081318,24,64,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,77.26,MB,309.06,MB,0.8,6,     26.47s ,26.47,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.05e-09,14.1582,-12551.073486946,8.843699621445e-09,-0.00047674343805451,-9620.6621301772,5020.3503093278,-1135.6687824915,-6815.0924068615,6.0,0.0,Zn2_15
16,0.005,29,"[12, 12, 6]","[0, 0, 0]",90.0,2.614347081318,24,76,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,80.35,MB,321.38,MB,1.0,6,     30.61s ,30.61,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.59e-09,14.4289,-12551.07618373,1.768739924289e-08,-0.00020544594505203,-9620.5420498795,5020.2117603921,-1135.6532820712,-6815.0924068615,6.0,0.0,Zn2_16
17,0.005,30,"[12, 12, 7]","[0, 0, 0]",90.0,2.614347081318,24,76,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,80.35,MB,321.38,MB,1.0,6,     30.97s ,30.97,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.48e-09,14.4098,-12551.080022576,4.761992103855e-08,0.0003288495690005,-9620.5034393754,5020.1685247691,-1135.6530299577,-6815.0924068615,6.0,0.0,Zn2_17
18,0.005,32,"[13, 13, 7]","[0, 0, 0]",90.0,2.614347081318,24,84,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,82.4,MB,329.6,MB,1.0,6,     33.71s ,33.71,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.29e-09,14.0994,-12551.103696071,4.08170751759e-08,-3.5782969237539e-05,-9620.5861466067,5020.2372306551,-1135.6623376114,-6815.0924068615,6.0,0.0,Zn2_18
19,0.005,34,"[14, 14, 7]","[0, 0, 0]",90.0,2.614347081318,24,96,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,85.48,MB,341.92,MB,1.1,6,     38.11s ,38.11,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.31e-09,14.2055,-12551.080336731,4.489878269349e-09,0.00019007151340244,-9620.5126000877,5020.1906557873,-1135.666175641,-6815.0924068615,6.0,0.0,Zn2_19
20,0.005,35,"[14, 14, 8]","[0, 0, 0]",90.0,2.614347081318,24,120,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,91.64,MB,366.56,MB,1.4,6,     50.36s ,50.36,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.4e-09,14.2647,-12551.083237465,1.1428781049252e-07,0.00015918659318601,-9620.4906897538,5020.161125994,-1135.661425894,-6815.0924068615,6.0,0.0,Zn2_20
