,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.015,1,"[1, 1, 1]","[0, 0, 0]",90.0,2.614347081318,24,1,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,60.84,MB,243.34,MB,0.3,8,      1.32s ,1.32,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.57e-08,10.654,-12563.356021613,4.08170751759e-07,0.020157376518701,-9602.4018205624,4987.4717238371,-1133.3536755393,-6815.0924068615,8,0.0,Zn2_0
1,0.015,3,"[2, 2, 1]","[0, 0, 0]",90.0,2.614347081318,24,2,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,61.35,MB,245.39,MB,0.3,6,      1.40s ,1.4,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.25e-08,12.1898,-12549.573447052,7.619187366168e-06,-0.037440550660432,-9619.087651367,5020.4813045196,-1135.8372526563,-6815.0924068615,6,0.0,Zn2_1
2,0.015,5,"[2, 2, 2]","[0, 0, 0]",90.0,2.614347081318,24,4,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,61.86,MB,247.45,MB,0.4,6,      1.76s ,1.76,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.61e-08,12.3528,-12549.150632494,4.08170751759e-07,0.0052534296889728,-9614.1232586801,5015.4802881677,-1135.4205085501,-6815.0924068615,6,0.0,Zn2_2
3,0.015,6,"[3, 3, 2]","[0, 0, 0]",90.0,2.614347081318,24,6,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.38,MB,249.5,MB,0.4,7,      2.36s ,2.36,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.65e-09,14.5517,-12550.277042406,5.034105938361e-08,-0.022989265194405,-9621.7594618685,5022.2961115473,-1135.698295958,-6815.0924068615,7,0.0,Zn2_3
4,0.015,8,"[4, 4, 2]","[0, 0, 0]",90.0,2.614347081318,24,8,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.89,MB,251.56,MB,0.4,6,      2.75s ,2.75,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.83e-08,13.0973,-12551.387252293,8.16341503518e-07,-0.0032235965404753,-9620.3573166953,5019.7029117393,-1135.6372168786,-6815.0924068615,6,0.0,Zn2_4
5,0.015,10,"[4, 4, 3]","[0, 0, 0]",90.0,2.614347081318,24,8,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.89,MB,251.56,MB,0.3,6,      2.58s ,2.58,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.14e-08,13.0485,-12551.409168341,2.176910676048e-08,0.010044401916203,-9621.3924563616,5020.7750489549,-1135.7093984746,-6815.0924068615,6,0.0,Zn2_5
6,0.015,11,"[5, 5, 3]","[0, 0, 0]",90.0,2.614347081318,24,10,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,63.4,MB,253.61,MB,0.4,6,      2.97s ,2.97,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.73e-08,13.9529,-12551.067277988,4.217764434843e-08,-0.00098001797497336,-9621.2090925903,5020.9490242547,-1135.7138226374,-6815.0924068615,6,0.0,Zn2_6
7,0.015,14,"[6, 6, 3]","[0, 0, 0]",90.0,2.614347081318,24,14,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,64.43,MB,257.72,MB,0.4,6,      3.81s ,3.81,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.25e-08,14.681,-12551.07180433,1.088455338024e-06,-0.0017374468333208,-9620.4767622875,5020.1647817073,-1135.6656794414,-6815.0924068615,6,0.0,Zn2_7
8,0.015,15,"[6, 6, 4]","[0, 0, 0]",90.0,2.614347081318,24,21,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,66.23,MB,264.91,MB,0.5,6,      5.45s ,5.45,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.47e-08,14.609,-12551.024698704,1.224512255277e-06,-0.0077956531878451,-9620.7281088023,5020.4786753557,-1135.6750628788,-6815.0924068615,6,0.0,Zn2_8
9,0.015,16,"[7, 7, 4]","[0, 0, 0]",90.0,2.614347081318,24,24,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,67.0,MB,267.99,MB,0.5,6,      5.89s ,5.89,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.49e-08,14.5004,-12551.153700934,5.44227669012e-07,-0.0011485924954498,-9620.7218963074,5020.3253881904,-1135.6636374992,-6815.0924068615,6,0.0,Zn2_9
