,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.015,1,"[1, 1, 1]","[0, 0, 0]",40.0,2.5828081196861,11,1,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.3,MB,37.19,MB,0.1,5,      0.26s ,0.26,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.13e-07,17.9951,-1974.4278853446,1.088455338024e-06,-0.20093198470833,-627.41490240745,404.9039012279,-266.96842829494,-1484.7475237493,5,0.0,V1_0
1,0.015,3,"[2, 2, 2]","[0, 0, 0]",40.0,2.5828081196861,11,4,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.36,MB,37.45,MB,0.2,4,      0.30s ,0.3,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.89e-06,18.4421,-1973.0076542614,1.0340325711228e-05,-0.051338900814744,-619.7564280622,396.77404857701,-265.22641212611,-1484.7475237493,4,0.0,V1_1
2,0.015,6,"[3, 3, 3]","[0, 0, 0]",40.0,2.5828081196861,11,6,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.39,MB,37.58,MB,0.2,5,      0.36s ,0.36,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.07e-08,16.8736,-1972.6962979385,1.632683007036e-06,-0.031082746974117,-614.87034211766,391.42723962431,-264.47458894881,-1484.7475237493,5,0.0,V1_2
3,0.015,8,"[4, 4, 4]","[0, 0, 0]",40.0,2.5828081196861,11,13,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.51,MB,38.02,MB,0.2,5,      0.43s ,0.43,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.79e-08,16.7305,-1972.6880062218,4.08170751759e-06,-0.00044082441189972,-615.7336590406,392.41760622446,-264.62398896793,-1484.7475237493,5,0.0,V1_3
4,0.015,11,"[5, 5, 5]","[0, 0, 0]",40.0,2.5828081196861,11,19,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.6,MB,38.41,MB,0.2,5,      0.48s ,0.48,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.72e-08,16.8429,-1972.5324245926,4.898049021108e-06,-0.0095230318092892,-615.7721479098,392.66618887908,-264.66941864472,-1484.7475237493,5,0.0,V1_4
5,0.015,13,"[6, 6, 6]","[0, 0, 0]",40.0,2.5828081196861,11,32,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.81,MB,39.24,MB,0.2,5,      0.71s ,0.71,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.07e-08,16.762,-1972.5189012154,1.0204268793975e-05,-0.022674837658633,-615.9704164443,392.92176594769,-264.70005213175,-1484.7475237493,5,0.0,V1_5
6,0.015,16,"[7, 7, 7]","[0, 0, 0]",40.0,2.5828081196861,11,44,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,10.0,MB,40.0,MB,0.2,4,      0.78s ,0.78,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.56e-06,16.595,-1972.5731024816,1.2517236387276e-05,0.019441308963198,-615.75080642993,392.55109221021,-264.6453058215,-1484.7475237493,4,0.0,V1_6
7,0.015,19,"[8, 8, 8]","[0, 0, 0]",40.0,2.5828081196861,11,65,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,10.33,MB,41.34,MB,0.2,5,      1.34s ,1.34,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.76e-07,16.7629,-1972.5937265333,8.16341503518e-06,0.004930838738166,-616.52680556086,393.44797178955,-264.77229985144,-1484.7475237493,5,0.0,V1_7
8,0.015,21,"[9, 9, 9]","[0, 0, 0]",40.0,2.5828081196861,11,85,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,10.65,MB,42.6,MB,0.2,5,      1.47s ,1.47,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.51e-07,16.8211,-1972.5789778275,6.122561276385e-06,-0.005327172538124,-616.42785871202,393.36415841556,-264.76242647307,-1484.7475237493,5,0.0,V1_8
9,0.015,24,"[10, 10, 10]","[0, 0, 0]",40.0,2.5828081196861,11,116,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,11.15,MB,44.59,MB,0.2,5,      1.93s ,1.93,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.09e-08,16.7394,-1972.5759851195,6.258618193638e-06,0.0044592654629671,-615.79693475899,392.61768472413,-264.65367046472,-1484.7475237493,5,0.0,V1_9
10,0.015,26,"[11, 11, 11]","[0, 0, 0]",40.0,2.5828081196861,11,146,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,11.62,MB,46.49,MB,0.3,6,      2.63s ,2.63,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.18e-08,16.7376,-1972.5743381505,2.312967593301e-06,0.0013351265290037,-616.08017709693,392.95612222409,-264.70409465488,-1484.7475237493,6,0.0,V1_10
11,0.015,29,"[12, 12, 12]","[0, 0, 0]",40.0,2.5828081196861,11,189,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,12.31,MB,49.25,MB,0.3,5,      2.99s ,2.99,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.66e-07,16.7593,-1972.5718849082,1.0340325711228e-05,-0.0031064515347205,-616.31547637865,393.2394407539,-264.74521921869,-1484.7475237493,5,0.0,V1_11
12,0.015,31,"[13, 13, 13]","[0, 0, 0]",40.0,2.5828081196861,11,231,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,12.98,MB,51.91,MB,0.3,5,      3.39s ,3.39,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.09e-07,16.7479,-1972.5766147909,3.129309096819e-06,0.0019680633080646,-616.18172168049,393.07015900957,-264.71949643397,-1484.7475237493,5,0.0,V1_12
13,0.015,34,"[14, 14, 14]","[0, 0, 0]",40.0,2.5828081196861,11,288,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,13.89,MB,55.56,MB,0.4,5,      4.48s ,4.48,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.33e-08,16.7361,-1972.5810556887,5.578333607373e-06,0.0087758072197358,-616.05493037536,392.90551367681,-264.69289091197,-1484.7475237493,5,0.0,V1_13
14,0.015,37,"[15, 15, 15]","[0, 0, 0]",40.0,2.5828081196861,11,344,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,14.78,MB,59.12,MB,0.4,5,      5.11s ,5.11,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.25e-07,16.7536,-1972.578773606,2.449024510554e-06,0.0051893468809467,-616.1186101828,392.98807151757,-264.70590053834,-1484.7475237493,5,0.0,V1_14
15,0.015,39,"[16, 16, 16]","[0, 0, 0]",40.0,2.5828081196861,11,417,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,15.95,MB,63.79,MB,0.4,6,      7.17s ,7.17,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.55e-08,16.7541,-1972.5754989881,8.16341503518e-07,0.00051769657014767,-616.1271112911,393.00984756323,-264.7112292075,-1484.7475237493,6,0.0,V1_15
16,0.015,42,"[17, 17, 17]","[0, 0, 0]",40.0,2.5828081196861,11,489,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,17.09,MB,68.37,MB,0.5,5,      7.20s ,7.2,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.46e-08,16.7509,-1972.576514517,4.489878269349e-06,0.0021868428310075,-616.06833225383,392.93484373857,-264.69768909521,-1484.7475237493,5,0.0,V1_16
17,0.015,44,"[18, 18, 18]","[0, 0, 0]",40.0,2.5828081196861,11,580,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,18.55,MB,74.19,MB,0.5,5,      9.62s ,9.62,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.48e-07,16.7485,-1972.5775675975,7.074959697156e-06,0.0041589878465897,-616.20963089987,393.10005302726,-264.72462482735,-1484.7475237493,5,0.0,V1_17
18,0.015,47,"[19, 19, 19]","[0, 0, 0]",40.0,2.5828081196861,11,670,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,19.98,MB,79.93,MB,0.6,5,     10.63s ,10.63,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.17e-07,16.7488,-1972.5773146677,1.088455338024e-06,0.0034440087464252,-616.15170874906,393.03165816735,-264.71318448146,-1484.7475237493,5,0.0,V1_18
19,0.015,1,"[1, 1, 1]","[0, 0, 0]",35.0,2.5828081196861,11,1,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,7.77,MB,31.09,MB,0.2,5,      0.30s ,0.3,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.12e-08,17.995,-1974.4261390541,1.088455338024e-06,-0.20093198470833,-627.40797234837,404.90002945621,-266.9697405639,-1484.7475237493,5,0.0,V1_19
20,0.015,3,"[2, 2, 2]","[0, 0, 0]",35.0,2.5828081196861,11,4,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,7.83,MB,31.32,MB,0.2,4,      0.28s ,0.28,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.91e-06,18.441,-1973.0022655912,9.796098042216e-06,-0.051338900814744,-619.73761955396,396.75998614222,-265.22576952929,-1484.7475237493,4,0.0,V1_20
21,0.015,6,"[3, 3, 3]","[0, 0, 0]",35.0,2.5828081196861,11,6,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,7.85,MB,31.4,MB,0.2,5,      0.36s ,0.36,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.15e-08,16.8732,-1972.6911420616,1.768739924289e-06,-0.031108869902229,-614.85283662651,391.41455898356,-264.4742317994,-1484.7475237493,5,0.0,V1_21
22,0.015,8,"[4, 4, 4]","[0, 0, 0]",35.0,2.5828081196861,11,13,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,7.95,MB,31.8,MB,0.2,5,      0.42s ,0.42,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.29e-08,16.7299,-1972.683570222,2.585081427807e-06,-0.00047987274715133,-615.72372307604,392.4131223327,-264.62496599266,-1484.7475237493,5,0.0,V1_22
23,0.015,11,"[5, 5, 5]","[0, 0, 0]",35.0,2.5828081196861,11,19,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,8.03,MB,32.11,MB,0.2,5,      0.46s ,0.46,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.9e-08,16.8423,-1972.5276602876,4.898049021108e-06,-0.0095023511578668,-615.75334566018,392.65140751953,-264.66869591037,-1484.7475237493,5,0.0,V1_23
24,0.015,13,"[6, 6, 6]","[0, 0, 0]",35.0,2.5828081196861,11,32,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,8.2,MB,32.79,MB,0.2,5,      0.65s ,0.65,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.75e-08,16.7613,-1972.5139145933,7.891301200674e-06,-0.022672388634123,-615.95808329292,392.91514283301,-264.70077799541,-1484.7475237493,5,0.0,V1_24
25,0.015,16,"[7, 7, 7]","[0, 0, 0]",35.0,2.5828081196861,11,44,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,8.35,MB,33.42,MB,0.2,4,      0.67s ,0.67,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.57e-06,16.5945,-1972.5682464742,1.2653293304529e-05,0.019430696523653,-615.73859287259,392.54438936618,-264.64594991495,-1484.7475237493,4,0.0,V1_25
26,0.015,19,"[8, 8, 8]","[0, 0, 0]",35.0,2.5828081196861,11,65,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,8.63,MB,34.52,MB,0.2,5,      1.10s ,1.1,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.68e-07,16.7627,-1972.589069033,6.258618193638e-06,0.0049116547128333,-616.50009432264,393.42341610107,-264.76977871676,-1484.7475237493,5,0.0,V1_26
27,0.015,21,"[9, 9, 9]","[0, 0, 0]",35.0,2.5828081196861,11,85,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,8.89,MB,35.57,MB,0.2,5,      1.31s ,1.31,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.48e-07,16.8208,-1972.574224543,4.761992103855e-06,-0.0053418666851873,-616.40178353988,393.34052845834,-264.76010370938,-1484.7475237493,5,0.0,V1_27
28,0.015,24,"[10, 10, 10]","[0, 0, 0]",35.0,2.5828081196861,11,116,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,9.3,MB,37.19,MB,0.2,5,      1.72s ,1.72,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.31e-09,16.7386,-1972.5711707455,4.489878269349e-06,0.0044730072116096,-615.78417479706,392.61027111877,-264.65421632507,-1484.7475237493,5,0.0,V1_28
29,0.015,26,"[11, 11, 11]","[0, 0, 0]",35.0,2.5828081196861,11,146,"[25, 25, 25]","[20, 20, 20]",1,1,13.26377625441,9.68,MB,38.73,MB,0.2,6,      2.29s ,2.29,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.88e-09,16.7373,-1972.569661194,1.36056917253e-06,0.0013317251060724,-616.05376708872,392.9319145692,-264.70161651419,-1484.7475237493,6,0.0,V1_29
