,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.005,1,"[1, 1, 1]","[0, 0, 0]",40.0,4.5673814050611,22,1,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.21,MB,128.83,MB,0.2,15,      1.08s ,1.08,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.36e-09,13.0367,-4863.0911872768,5.44227669012e-06,0.0035060507006926,-1624.8143300598,977.84604887853,-730.01479648555,-3486.1116156606,15,0.0,Ti3_0
1,0.005,3,"[1, 1, 2]","[0, 0, 0]",40.0,4.5673814050611,22,2,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.45,MB,129.81,MB,0.2,12,      1.13s ,1.13,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.92e-09,12.9373,-4864.9987166854,1.1973008718264e-05,0.011929742618578,-1626.5684323007,977.08257963729,-729.41317796799,-3486.1116156606,12,0.0,Ti3_1
2,0.005,5,"[2, 2, 2]","[0, 0, 0]",40.0,4.5673814050611,22,4,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.7,MB,130.8,MB,0.2,21,      2.15s ,2.15,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.85e-09,13.3815,-4863.532574284,7.755244283421e-06,0.0066774013849427,-1632.7881247463,985.90093743338,-730.54044857577,-3486.1116156606,21,0.0,Ti3_2
3,0.005,6,"[2, 2, 3]","[0, 0, 0]",40.0,4.5673814050611,22,4,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.7,MB,130.8,MB,0.2,100,      8.27s ,8.27,,,,,,,,,,,,3.61e-08,,,,,,,,,100,,Ti3_3
4,0.005,9,"[2, 2, 4]","[0, 0, 0]",40.0,4.5673814050611,22,6,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.95,MB,131.79,MB,0.2,14,      2.09s ,2.09,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.89e-08,13.2672,-4863.0604184131,5.306219772867e-06,0.010783599147638,-1628.8851709835,981.99222329283,-730.0666386609,-3486.1116156606,14,0.0,Ti3_4
5,0.005,10,"[3, 3, 4]","[0, 0, 0]",40.0,4.5673814050611,22,9,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,33.32,MB,133.27,MB,0.2,10,      2.14s ,2.14,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.17e-08,13.4749,-4863.2587058595,5.578333607373e-06,-0.0011517218045466,-1627.9188633281,980.61150068943,-729.83857583844,-3486.1116156606,10,0.0,Ti3_5
6,0.005,12,"[3, 3, 5]","[0, 0, 0]",40.0,4.5673814050611,22,9,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,33.32,MB,133.27,MB,0.3,11,      2.42s ,2.42,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.06e-09,13.5015,-4863.2160358252,3.129309096819e-06,-0.0019330966803306,-1627.3568169649,980.00634700498,-729.75201710797,-3486.1116156606,11,0.0,Ti3_6
7,0.005,14,"[4, 4, 5]","[0, 0, 0]",40.0,4.5673814050611,22,12,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,33.69,MB,134.76,MB,0.3,9,      3.19s ,3.19,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.5e-09,13.509,-4863.2062425843,1.496626089783e-06,-0.001507918813915,-1627.5229864072,980.20399035794,-729.7741229556,-3486.1116156606,9,0.0,Ti3_7
8,0.005,15,"[4, 4, 6]","[0, 0, 0]",40.0,4.5673814050611,22,16,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,34.18,MB,136.73,MB,0.3,11,      3.53s ,3.53,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.63e-09,13.4735,-4863.1898855496,1.1428781049252e-05,-0.0021054807944902,-1627.3595202798,980.03926774485,-729.75591200934,-3486.1116156606,11,0.0,Ti3_8
9,0.005,17,"[4, 4, 7]","[0, 0, 0]",40.0,4.5673814050611,22,16,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,34.18,MB,136.73,MB,0.3,10,      3.69s ,3.69,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.05e-09,13.5363,-4863.1812272956,1.0204268793975e-05,-0.0038716356373514,-1627.3211325008,980.00242475617,-729.74703225463,-3486.1116156606,10,0.0,Ti3_9
