Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
Ba2N,R-3m,-0.477687,-0.3626,0.0,0.0,3,2,-0.396147,-0.410833,N.A.,N.A.,None,H-7239
BaAlGe,Amm2,-0.468748,-0.521586,0.0,0.0,3,3,-0.468748,-0.521586,N.A.,N.A.,None,H-3003
BaAu2,Cmmm,-0.742259,-0.712606,0.0,0.0,3,2,-0.742259,-0.712606,N.A.,N.A.,None,H-3817
BaC2,I4/mmm,0.089935,0.045961,1.63,2.86,3,2,0.089935,0.045961,Indirect,Indirect,-0.2558,H-11366
BaCd,Pm-3m,-0.329363,-0.303498,0.0,0.09,2,2,-0.329363,-0.303498,N.A.,Indirect,None,H-9951
BaF2,Fm-3m,-4.125397,-4.186956,6.59,8.53,3,2,-3.858454,-4.050286,Indirect,Indirect,-4.176,H-10293
BaHg,Pm-3m,-0.532063,-0.513591,0.0,0.04,2,2,-0.529404,-0.544463,N.A.,Indirect,None,H-3393
BaLiP,P-6m2,-0.995174,-1.064458,0.7,1.31,3,3,-0.880176,-0.998795,Direct,Direct,None,H-9069
BaO2,I4/mmm,-2.23756,-2.311743,2.27,3.85,3,2,-1.854864,-2.21794,Indirect,Indirect,-2.1913,H-10783
BaO2,Cmmm,-2.117127,-2.168859,2.26,3.84,3,2,-1.73443,-2.075056,Indirect,Indirect,-2.1913,H-6719
BaO,Fm-3m,-2.762143,-2.840319,2.14,3.38,2,2,-2.475121,-2.769967,Indirect,Direct,-2.8398,H-1363
BaS,Fm-3m,-2.294184,-2.333975,2.18,3.07,2,2,-2.075939,-2.275264,Indirect,Indirect,-2.4356,H-4377
BaSbPt,Amm2,-0.936085,-1.084432,0.0,0.0,3,3,-0.936085,-1.084432,N.A.,N.A.,None,H-9045
BaSe,Fm-3m,-2.046636,-2.279293,1.95,2.79,2,2,-2.046636,-2.279293,Indirect,Indirect,None,H-5821
BaSe,Pm-3m,-1.845708,-2.075872,1.28,2.04,2,2,-1.845708,-2.075872,Indirect,Indirect,None,H-8447
BaSi2,C2/m,-0.340579,-0.348651,0.0,0.0,3,2,-0.340579,-0.348651,N.A.,N.A.,None,H-3294
BaSi2,I4/mmm,0.12033,0.152987,0.0,0.0,3,2,0.12033,0.152987,N.A.,Direct,None,H-6043
BaSiC,I4mm,0.58477,0.612674,0.32,1.2,3,3,0.58477,0.612674,Indirect,Indirect,None,H-2587
BaTe,Pm-3m,-1.620754,-1.857411,0.79,1.46,2,2,-1.620754,-1.857411,Indirect,Indirect,-2.1226,H-10816
BaZn,Pm-3m,-0.164727,-0.137129,0.0,0.06,2,2,-0.164727,-0.137129,N.A.,Indirect,None,H-10000
Ba,P4/mmm,0.308634,0.280009,0.0,0.05,1,1,0.308634,0.280009,N.A.,Indirect,0.0,H-109
Ba,Fm-3m,0.016557,0.012502,0.0,0.02,1,1,0.016557,0.012502,N.A.,Indirect,0.0,H-180
Ba,P63/mmc,0.014279,0.019241,0.0,0.07,2,1,0.014279,0.019241,N.A.,Indirect,0.0,H-30
Ba,Im-3m,0.0,0.0,0.06,0.03,1,1,0.0,0.0,Indirect,Indirect,0.0,H-42
Be2C,Fm-3m,-0.233815,-0.36358,1.2,1.9,3,2,-0.233815,-0.36358,Indirect,Indirect,-0.3137,H-7289
BeCu,Pm-3m,-0.096131,-0.121497,0.01,0.19,2,2,-0.096131,-0.121497,Indirect,Indirect,None,H-7542
BeNi,Pm-3m,-0.466797,-0.51695,0.0,0.0,2,2,-0.466797,-0.51695,N.A.,N.A.,None,H-1830
BePd,Pm-3m,-0.579804,-0.757796,0.0,0.0,2,2,-0.579804,-0.757796,N.A.,N.A.,None,H-4717
BeRh,Pm-3m,-0.605623,-0.841773,0.0,0.21,2,2,-0.605623,-0.841773,N.A.,Indirect,None,H-5735
BeS,F-43m,-1.274397,-1.305517,3.15,4.09,2,2,-1.056153,-1.246806,Indirect,Indirect,-1.223,H-2307
BeSe,F-43m,-0.794645,-1.006318,2.67,3.52,2,2,-0.794645,-1.006318,Indirect,Indirect,None,H-6629
BeTe,F-43m,-0.357128,-0.555911,2.03,2.68,2,2,-0.357128,-0.555911,Indirect,Indirect,None,H-3727
Be,I4/mmm,0.100221,0.006034,0.0,0.0,4,1,0.100221,0.006034,N.A.,N.A.,0.0,H-344
Be,Im-3m,0.099581,0.0,0.0,0.0,1,1,0.099581,0.0,N.A.,N.A.,0.0,H-46
BiO2,Fm-3m,-1.264933,-1.063604,0.0,0.0,3,2,-0.882237,-0.969801,N.A.,N.A.,None,H-2225
BiSe,Fm-3m,-0.159759,-0.095413,0.0,0.0,2,2,-0.159759,-0.095413,N.A.,N.A.,None,H-6918
BiTe,Fm-3m,-0.077318,-0.048551,0.0,0.0,2,2,-0.077318,-0.048551,N.A.,N.A.,None,H-12524
Bi,R-3m,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-154
Bi,I41/amd,0.040814,0.071533,0.0,0.0,2,1,0.040814,0.071533,N.A.,N.A.,0.0,H-215
Bi,Im-3m,0.129823,0.175156,0.0,0.0,1,1,0.129823,0.175156,N.A.,N.A.,0.0,H-231
Bi,Pm-3m,0.041732,0.071541,0.0,0.0,1,1,0.041732,0.071541,N.A.,N.A.,0.0,H-69
